"","X","Y"
"-2291.755065_748.5431295",-2291.755065,748.5431295
"-2291.755065_848.5431295",-2291.755065,848.5431295
"-2291.755065_948.5431295",-2291.755065,948.5431295
"-2391.755065_-151.4568705",-2391.755065,-151.4568705
"-2391.755065_-51.4568705",-2391.755065,-51.4568705
"-2391.755065_1048.5431295",-2391.755065,1048.5431295
"-2391.755065_1148.5431295",-2391.755065,1148.5431295
"-2391.755065_1248.5431295",-2391.755065,1248.5431295
"-2391.755065_1348.5431295",-2391.755065,1348.5431295
"-2391.755065_148.5431295",-2391.755065,148.5431295
"-2391.755065_248.5431295",-2391.755065,248.5431295
"-2391.755065_348.5431295",-2391.755065,348.5431295
